"","date","epiweek","geocode","casos","uf","macroregional_geocode","regional_geocode","train_1","target_1","train_2","target_2","train_3","target_3"
"65",2011-03-27,201113,3550308,413,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"66",2011-04-03,201114,3550308,484,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"67",2011-04-10,201115,3550308,516,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"68",2011-04-17,201116,3550308,585,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"69",2011-04-24,201117,3550308,655,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"70",2011-05-01,201118,3550308,485,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"71",2011-05-08,201119,3550308,337,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"72",2011-05-15,201120,3550308,256,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"73",2011-05-22,201121,3550308,145,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"74",2011-05-29,201122,3550308,101,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"75",2011-06-05,201123,3550308,45,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"76",2011-06-12,201124,3550308,36,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"77",2011-06-19,201125,3550308,31,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"78",2011-06-26,201126,3550308,35,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"79",2011-07-03,201127,3550308,18,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"80",2011-07-10,201128,3550308,17,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"81",2011-07-17,201129,3550308,28,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"82",2011-07-24,201130,3550308,13,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"83",2011-07-31,201131,3550308,9,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"84",2011-08-07,201132,3550308,12,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"85",2011-08-14,201133,3550308,11,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"86",2011-08-21,201134,3550308,6,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"87",2011-08-28,201135,3550308,12,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"88",2011-09-04,201136,3550308,10,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"89",2011-09-11,201137,3550308,12,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"90",2011-09-18,201138,3550308,8,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"91",2011-09-25,201139,3550308,11,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"92",2011-10-02,201140,3550308,6,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"93",2011-10-09,201141,3550308,10,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"94",2011-10-16,201142,3550308,7,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"95",2011-10-23,201143,3550308,9,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"96",2011-10-30,201144,3550308,1,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"97",2011-11-06,201145,3550308,13,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"98",2011-11-13,201146,3550308,9,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"99",2011-11-20,201147,3550308,8,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"100",2011-11-27,201148,3550308,9,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"101",2011-12-04,201149,3550308,12,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"102",2011-12-11,201150,3550308,13,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"103",2011-12-18,201151,3550308,10,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"104",2011-12-25,201152,3550308,22,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"105",2012-01-01,201201,3550308,34,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"106",2012-01-08,201202,3550308,50,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"107",2012-01-15,201203,3550308,43,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"108",2012-01-22,201204,3550308,41,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"109",2012-01-29,201205,3550308,42,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"110",2012-02-05,201206,3550308,36,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"111",2012-02-12,201207,3550308,40,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"112",2012-02-19,201208,3550308,47,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"113",2012-02-26,201209,3550308,54,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"114",2012-03-04,201210,3550308,67,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"115",2012-03-11,201211,3550308,89,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"116",2012-03-18,201212,3550308,83,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"117",2012-03-25,201213,3550308,104,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"118",2012-04-01,201214,3550308,117,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"119",2012-04-08,201215,3550308,163,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"120",2012-04-15,201216,3550308,168,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"121",2012-04-22,201217,3550308,167,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"122",2012-04-29,201218,3550308,122,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"123",2012-05-06,201219,3550308,73,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"124",2012-05-13,201220,3550308,48,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"125",2012-05-20,201221,3550308,47,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"126",2012-05-27,201222,3550308,28,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"127",2012-06-03,201223,3550308,22,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"128",2012-06-10,201224,3550308,23,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"129",2012-06-17,201225,3550308,23,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"130",2012-06-24,201226,3550308,25,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"131",2012-07-01,201227,3550308,10,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"132",2012-07-08,201228,3550308,11,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"133",2012-07-15,201229,3550308,15,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"134",2012-07-22,201230,3550308,13,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"135",2012-07-29,201231,3550308,13,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"136",2012-08-05,201232,3550308,7,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"137",2012-08-12,201233,3550308,4,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"138",2012-08-19,201234,3550308,4,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"139",2012-08-26,201235,3550308,5,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"140",2012-09-02,201236,3550308,5,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"141",2012-09-09,201237,3550308,7,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"142",2012-09-16,201238,3550308,12,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"143",2012-09-23,201239,3550308,7,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"144",2012-09-30,201240,3550308,6,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"145",2012-10-07,201241,3550308,7,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"146",2012-10-14,201242,3550308,11,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"147",2012-10-21,201243,3550308,9,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"148",2012-10-28,201244,3550308,6,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"149",2012-11-04,201245,3550308,8,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"150",2012-11-11,201246,3550308,7,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"151",2012-11-18,201247,3550308,10,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"152",2012-11-25,201248,3550308,11,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"153",2012-12-02,201249,3550308,19,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"154",2012-12-09,201250,3550308,9,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"155",2012-12-16,201251,3550308,12,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"156",2012-12-23,201252,3550308,27,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"157",2012-12-30,201301,3550308,65,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"158",2013-01-06,201302,3550308,83,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"159",2013-01-13,201303,3550308,82,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"160",2013-01-20,201304,3550308,75,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"161",2013-01-27,201305,3550308,97,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"162",2013-02-03,201306,3550308,74,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"163",2013-02-10,201307,3550308,88,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"164",2013-02-17,201308,3550308,167,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"165",2013-02-24,201309,3550308,226,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"166",2013-03-03,201310,3550308,244,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"167",2013-03-10,201311,3550308,354,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"168",2013-03-17,201312,3550308,415,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"169",2013-03-24,201313,3550308,324,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"170",2013-03-31,201314,3550308,422,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"171",2013-04-07,201315,3550308,511,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"172",2013-04-14,201316,3550308,447,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"173",2013-04-21,201317,3550308,286,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"174",2013-04-28,201318,3550308,213,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"175",2013-05-05,201319,3550308,198,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"176",2013-05-12,201320,3550308,168,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"177",2013-05-19,201321,3550308,121,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"178",2013-05-26,201322,3550308,77,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"179",2013-06-02,201323,3550308,58,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"180",2013-06-09,201324,3550308,42,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"181",2013-06-16,201325,3550308,40,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"182",2013-06-23,201326,3550308,31,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"183",2013-06-30,201327,3550308,25,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"184",2013-07-07,201328,3550308,20,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"185",2013-07-14,201329,3550308,26,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"186",2013-07-21,201330,3550308,19,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"187",2013-07-28,201331,3550308,28,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"188",2013-08-04,201332,3550308,20,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"189",2013-08-11,201333,3550308,8,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"190",2013-08-18,201334,3550308,10,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"191",2013-08-25,201335,3550308,7,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"192",2013-09-01,201336,3550308,12,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"193",2013-09-08,201337,3550308,8,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"194",2013-09-15,201338,3550308,7,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"195",2013-09-22,201339,3550308,14,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"196",2013-09-29,201340,3550308,10,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"197",2013-10-06,201341,3550308,12,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"198",2013-10-13,201342,3550308,9,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"199",2013-10-20,201343,3550308,11,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"200",2013-10-27,201344,3550308,15,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"201",2013-11-03,201345,3550308,16,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"202",2013-11-10,201346,3550308,13,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"203",2013-11-17,201347,3550308,16,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"204",2013-11-24,201348,3550308,23,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"205",2013-12-01,201349,3550308,21,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"206",2013-12-08,201350,3550308,25,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"207",2013-12-15,201351,3550308,20,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"208",2013-12-22,201352,3550308,29,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"209",2013-12-29,201401,3550308,21,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"210",2014-01-05,201402,3550308,34,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"211",2014-01-12,201403,3550308,58,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"212",2014-01-19,201404,3550308,58,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"213",2014-01-26,201405,3550308,100,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"214",2014-02-02,201406,3550308,100,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"215",2014-02-09,201407,3550308,227,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"216",2014-02-16,201408,3550308,301,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"217",2014-02-23,201409,3550308,378,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"218",2014-03-02,201410,3550308,615,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"219",2014-03-09,201411,3550308,844,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"220",2014-03-16,201412,3550308,1382,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"221",2014-03-23,201413,3550308,2175,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"222",2014-03-30,201414,3550308,2670,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"223",2014-04-06,201415,3550308,3654,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"224",2014-04-13,201416,3550308,5070,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"225",2014-04-20,201417,3550308,4306,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"226",2014-04-27,201418,3550308,3796,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"227",2014-05-04,201419,3550308,2637,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"228",2014-05-11,201420,3550308,2734,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"229",2014-05-18,201421,3550308,1630,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"230",2014-05-25,201422,3550308,1185,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"231",2014-06-01,201423,3550308,640,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"232",2014-06-08,201424,3550308,458,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"233",2014-06-15,201425,3550308,452,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"234",2014-06-22,201426,3550308,343,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"235",2014-06-29,201427,3550308,223,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
